"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code","sampling_unit_new"
"toledo","forest","hyper",19,0,2022,NA,"soil","apparent_density",NA,1.06595365418895,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/19/0"
"toledo","forest","hyper",19,10,2022,NA,"soil","apparent_density",NA,0.92070282658518,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/19/10"
"toledo","forest","hyper",20,0,2022,NA,"soil","apparent_density",NA,1.07002801120448,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/20/0"
"toledo","forest","hyper",20,10,2022,NA,"soil","apparent_density",NA,1.29126559714795,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/20/10"
"toledo","forest","hyper",20,20,2022,NA,"soil","apparent_density",NA,1.40575502928444,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/20/20"
"toledo","scrub","hyper",21,0,2022,NA,"soil","apparent_density",NA,1.1310415075121,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/21/0"
"toledo","scrub","hyper",21,10,2022,NA,"soil","apparent_density",NA,0.895238095238095,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/21/10"
"toledo","scrub","hyper",21,20,2022,NA,"soil","apparent_density",NA,1.07899159663866,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/21/20"
"toledo","scrub","hyper",22,0,2022,NA,"soil","apparent_density",NA,1.02174688057041,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/22/0"
"toledo","scrub","hyper",22,10,2022,NA,"soil","apparent_density",NA,1.26101349630761,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/22/10"
"toledo","scrub","hyper",22,20,2022,NA,"soil","apparent_density",NA,1.37489177489177,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/22/20"
"toledo","scrub","hyper",25,0,2022,NA,"soil","apparent_density",NA,1.10272472625414,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/25/0"
"toledo","scrub","hyper",25,10,2022,NA,"soil","apparent_density",NA,0.957881334351923,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/25/10"
"toledo","scrub","hyper",25,20,2022,NA,"soil","apparent_density",NA,0.921415839062898,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/25/20"
"toledo","scrub","control",53,0,2022,NA,"soil","apparent_density",NA,1.01807995925643,"AD(g/cm3)",NA,NA,"toledo/scrub/control/53/0"
"toledo","scrub","control",53,10,2022,NA,"soil","apparent_density",NA,0.704863763687293,"AD(g/cm3)",NA,NA,"toledo/scrub/control/53/10"
"toledo","scrub","control",53,30,2022,NA,"soil","apparent_density",NA,1.36898395721925,"AD(g/cm3)",NA,NA,"toledo/scrub/control/53/30"
"toledo","scrub","control",54,0,2022,NA,"soil","apparent_density",NA,1.32243442831678,"AD(g/cm3)",NA,NA,"toledo/scrub/control/54/0"
"toledo","scrub","control",54,10,2022,NA,"soil","apparent_density",NA,0.993328240387064,"AD(g/cm3)",NA,NA,"toledo/scrub/control/54/10"
"toledo","scrub","control",54,30,2022,NA,"soil","apparent_density",NA,1.18186911128088,"AD(g/cm3)",NA,NA,"toledo/scrub/control/54/30"
"toledo","scrub","high",56,0,2022,NA,"soil","apparent_density",NA,1.38446651387828,"AD(g/cm3)",NA,NA,"toledo/scrub/high/56/0"
"toledo","scrub","high",56,10,2022,NA,"soil","apparent_density",NA,1.38548510313216,"AD(g/cm3)",NA,NA,"toledo/scrub/high/56/10"
"toledo","scrub","high",56,20,2022,NA,"soil","apparent_density",NA,1.1449961802903,"AD(g/cm3)",NA,NA,"toledo/scrub/high/56/20"
"toledo","scrub","high",57,0,2022,NA,"soil","apparent_density",NA,1.08938120702827,"AD(g/cm3)",NA,NA,"toledo/scrub/high/57/0"
"toledo","scrub","high",57,10,2022,NA,"soil","apparent_density",NA,0.96541889483066,"AD(g/cm3)",NA,NA,"toledo/scrub/high/57/10"
"toledo","scrub","high",57,20,2022,NA,"soil","apparent_density",NA,0.898701298701299,"AD(g/cm3)",NA,NA,"toledo/scrub/high/57/20"
"toledo","scrub","high",59,0,2022,NA,"soil","apparent_density",NA,0.770460911637382,"AD(g/cm3)",NA,NA,"toledo/scrub/high/59/0"
"toledo","scrub","high",59,10,2022,NA,"soil","apparent_density",NA,1.05393430099312,"AD(g/cm3)",NA,NA,"toledo/scrub/high/59/10"
"toledo","scrub","high",59,20,2022,NA,"soil","apparent_density",NA,1.46320346320346,"AD(g/cm3)",NA,NA,"toledo/scrub/high/59/20"
"toledo","forest","control",6,0,2022,NA,"soil","apparent_density",NA,1.05393430099312,"AD(g/cm3)",NA,NA,"toledo/forest/control/6/0"
"toledo","forest","control",6,10,2022,NA,"soil","apparent_density",NA,1.17473898650369,"AD(g/cm3)",NA,NA,"toledo/forest/control/6/10"
