"ID" "OLD_Chl" "OLD_Chl_sd" "OLD_Flav" "OLD_Flav_sd" "OLD_Anth" "OLD_Anth_sd" "OLD_NBI" "OLD_NBI_sd" "NEW_Chl" "NEW_Chl_sd" "NEW_Flav" "NEW_Flav_sd" "NEW_Anth" "NEW_Anth_sd" "NEW_NBI" "NEW_NBI_sd" "Year" "Full_ID" "Specie"
"60" "382CA" 30.498 4.347 1.79 0.203 0.262 0.078 17.427 4.448 38.582 1.45 1.807 0.052 0.144 0.01 21.354 0.727 2021 "21_QM__382CA" "CA"
"61" "335QI" 55.188 3.858 1.948 0.157 0.144 0.028 28.466 2.837 53.201 3.081 2.06 0.041 0.125 0.018 25.843 1.672 2021 "21_QM__335QI" "QI"
"62" "332QI" 53.952 4.423 2.004 0.05 0.146 0.012 26.932 2.207 45.875 0.931 2.084 0.026 0.158 0.011 22.018 0.708 2021 "21_QM__332QI" "QI"
"63" "363CA" 31.627 2.123 2.13 0.098 0.345 0.032 14.84 0.374 42.618 5.015 1.881 0.042 0.152 0.013 22.681 2.797 2021 "21_QM__363CA" "CA"
"64" "364CA" 18.427 4.781 1.836 0.242 0.372 0.097 9.893 1.545 39.093 3.448 1.734 0.094 0.159 0.014 22.601 2.454 2021 "21_QM__364CA" "CA"
"65" "366CA" 29.243 3.351 2.13 0.072 0.287 0.058 13.767 1.866 42.553 3.127 1.75 0.063 0.139 0.015 24.378 2.534 2021 "21_QM__366CA" "CA"
"66" "383CA" 31.887 3.09 1.987 0.213 0.229 0.058 16.341 3.477 35.039 5.164 1.747 0.043 0.178 0.024 20.067 3.039 2021 "21_QM__383CA" "CA"
"67" "384CA" 27.028 2.436 2.008 0.055 0.246 0.021 13.485 1.459 41.786 1.105 1.891 0.073 0.151 0.007 22.139 1.262 2021 "21_QM__384CA" "CA"
"68" "4CA" 28.37 11.101 1.906 0.125 0.42 0.192 14.84 5.832 40.256 3.803 1.895 0.032 0.158 0.009 21.238 1.925 2021 "21_QM__4CA" "CA"
"69" "5CA" 28.704 8.949 1.759 0.311 0.503 0.253 17.502 9.018 41.905 3.75 1.637 0.127 0.142 0.022 25.836 3.978 2021 "21_QM__5CA" "CA"
"70" "20CA" 29.434 10.431 1.82 0.225 0.32 0.161 16.559 6.367 40.111 4.085 1.695 0.097 0.151 0.008 23.72 2.714 2021 "21_QM__20CA" "CA"
"71" "167CA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2021 "21_QM__167CA" "CA"
"110" "398QI" 52.754 3.527 1.947 0.056 0.149 0.025 27.09 1.571 37.408 0.679 1.808 0.098 0.139 0.007 20.726 0.796 2021 "21_QM__398QI" "QI"
"210" "426QI" 58.477 1.435 1.933 0.02 0.13 0.011 30.257 0.704 48.226 1.561 1.927 0.011 0.125 0.008 25.027 0.734 2021 "21_QM__426QI" "QI"
