"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","valor","units","comments","author_code"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.513,NA,NA,"167CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.214,NA,NA,"167CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",28.251,NA,NA,"167CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.217,NA,NA,"167CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",38.151,NA,NA,"172CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.128,NA,NA,"172CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",43.676,NA,NA,"172CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.125,NA,NA,"172CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",50.369,NA,NA,"176CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.168,NA,NA,"176CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",38.19,NA,NA,"176CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.148,NA,NA,"176CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",40.947,NA,NA,"184CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.161,NA,NA,"184CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",45,NA,NA,"184CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.145,NA,NA,"184CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.598,NA,NA,"5CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.166,NA,NA,"5CL"
