"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo",NA,"high",NA,"336","2022","2022_06_07","fuego","THR","quercus_ilex",1.56101236086708,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"336","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.223545171875,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"195","2022","2022_06_07","fuego","FMC","quercus_ilex",105.53,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"195","2022","2022_06_07","fuego","PHRR","quercus_ilex",59.3921458369897,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"195","2022","2022_06_07","fuego","TTI","quercus_ilex",57,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"195","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",43.3437027486766,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"195","2022","2022_06_07","fuego","AEHC","quercus_ilex",5.57672279188147,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"195","2022","2022_06_07","fuego","THR","quercus_ilex",1.59759692603823,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"195","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.0969302546470344,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"198","2022","2022_06_07","fuego","FMC","quercus_ilex",106,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"198","2022","2022_06_07","fuego","PHRR","quercus_ilex",85.7832258439461,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"198","2022","2022_06_07","fuego","TTI","quercus_ilex",51,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"198","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",49.8700531695305,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"198","2022","2022_06_07","fuego","AEHC","quercus_ilex",3.07413094996314,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"198","2022","2022_06_07","fuego","THR","quercus_ilex",2.54337271164606,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"198","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.159119111111111,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"197","2022","2022_06_07","fuego","FMC","quercus_ilex",125.4,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"197","2022","2022_06_07","fuego","PHRR","quercus_ilex",49.4408015122583,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"197","2022","2022_06_07","fuego","TTI","quercus_ilex",10,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"197","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",40.9161392424196,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"197","2022","2022_06_07","fuego","AEHC","quercus_ilex",2.67659992911571,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"197","2022","2022_06_07","fuego","THR","quercus_ilex",0.409161392424195,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"197","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.152354420833333,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"196","2022","2022_06_07","fuego","FMC","quercus_ilex",111.2,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"196","2022","2022_06_07","fuego","PHRR","quercus_ilex",94.934329488193,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"196","2022","2022_06_07","fuego","TTI","quercus_ilex",43,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"196","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",65.5221826448396,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"196","2022","2022_06_07","fuego","AEHC","quercus_ilex",4.50512866127146,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"196","2022","2022_06_07","fuego","THR","quercus_ilex",2.8174538537281,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"196","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.145708069767442,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"control",NA,"267","2022","2022_06_07","fuego","FMC","quercus_ilex",86.73,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"control",NA,"267","2022","2022_06_07","fuego","PHRR","quercus_ilex",101.903678516751,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"control",NA,"267","2022","2022_06_07","fuego","TTI","quercus_ilex",113,"Time to Ignition (s)",NA,NA
"toledo",NA,"control",NA,"267","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",63.4094146801937,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"control",NA,"267","2022","2022_06_07","fuego","AEHC","quercus_ilex",5.05090487109633,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"control",NA,"267","2022","2022_06_07","fuego","THR","quercus_ilex",7.03904638211678,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"control",NA,"267","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.125008473348348,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"control",NA,"268","2022","2022_06_07","fuego","FMC","cistus_ladanifer",120.1,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"control",NA,"268","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",110.455267830488,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"control",NA,"268","2022","2022_06_07","fuego","TTI","cistus_ladanifer",53,"Time to Ignition (s)",NA,NA
