"Cercado.x" "ID" "OLD_Chl" "OLD_Chl_sd" "OLD_Flav" "OLD_Flav_sd" "OLD_Anth" "OLD_Anth_sd" "OLD_NBI" "OLD_NBI_sd" "NEW_Chl" "NEW_Chl_sd" "NEW_Flav" "NEW_Flav_sd" "NEW_Anth" "NEW_Anth_sd" "NEW_NBI" "NEW_NBI_sd" "Year" "Full_ID" "Specie"
"43" "C" "434CL" "43.821" "1.24" "1.942" "0.064" "0.154" "0.024" "22.581" "0.993" 40.975 "4.225" "1.858" "0.016" "0.135" "0.018" "22.061" "2.312" "2021" "21_QM_C_434CL" "CL"
"44" "C" "433CL" "40.263" "5.58" "1.929" "0.114" "0.198" "0.049" "21.011" "3.638" 30.007 "13.065" "1.735" "0.146" "0.154" "0.032" "16.856" "6.789" "2021" "21_QM_C_433CL" "CL"
"45" "C" "432CL" "39.847" "4.373" "1.875" "0.126" "0.185" "0.046" "21.342" "2.91" 18.874 "12.647" "1.621" "0.355" "0.161" "0.042" "10.752" "6.492" "2021" "21_QM_C_432CL" "CL"
"46" "B" "302CL" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2021" "21_QM_B_302CL" "CL"
"47" "B" "337CL" "33.893" "1.729" "1.939" "0.073" "0.192" "0.036" "17.884" "0.88" 28.65 "4.049" "1.851" "0.043" "0.179" "0.026" "15.482" "2.166" "2021" "21_QM_B_337CL" "CL"
"48" "B" "301CL" "46.537" "4.727" "2.023" "0.147" "0.177" "0.029" "22.992" "1.598" 37.322 "3.178" "1.829" "0.039" "0.168" "0.032" "20.399" "1.583" "2021" "21_QM_B_301CL" "CL"
"49" "B" "226CL" "37.054" "6.431" "1.957" "0.111" "0.186" "0.017" "19.134" "4.59" 26.153 "4.036" "1.911" "0.031" "0.223" "0.022" "13.693" "2.182" "2021" "21_QM_B_226CL" "CL"
"50" "B" "223CL" "39.186" "3.64" "1.997" "0.07" "0.228" "0.022" "19.59" "1.206" 35.996 "2.017" "1.867" "0.045" "0.196" "0.033" "19.287" "1.108" "2021" "21_QM_B_223CL" "CL"
"51" "B" "222CL" "35.935" "1.129" "1.96" "0.184" "0.222" "0.015" "18.457" "1.751" 30.706 "3.735" "1.886" "0.046" "0.197" "0.022" "16.272" "1.793" "2021" "21_QM_B_222CL" "CL"
"52" "B" "221CL" "36.073" "6.013" "2.017" "0.089" "0.211" "0.037" "17.867" "2.724" 28.987 "3.16" "1.827" "0.046" "0.212" "0.026" "15.903" "2.094" "2021" "21_QM_B_221CL" "CL"
"53" "B" "232CL" "42.948" "2.447" "1.97" "0.094" "0.191" "0.039" "21.868" "1.92" 31.776 "3.401" "1.898" "0.048" "0.166" "0.02" "16.736" "1.627" "2021" "21_QM_B_232CL" "CL"
"54" "C" "242CL" "33.986" "1.541" "1.971" "0.029" "0.232" "0.043" "17.247" "0.934" 27.603 "3.186" "1.824" "0.028" "0.227" "0.026" "15.12" "1.636" "2021" "21_QM_C_242CL" "CL"
"55" "C" "335CL" "45.809" "1.588" "2.016" "0.074" "0.178" "0.012" "22.748" "1.185" 35.237 "4.114" "1.843" "0.05" "0.18" "0.014" "19.168" "2.724" "2021" "21_QM_C_335CL" "CL"
"56" "C" "234CL" "43.065" "2.937" "1.872" "0.055" "0.194" "0.026" "23.049" "2.111" 40.921 "2.438" "1.833" "0.077" "0.148" "0.023" "22.371" "1.946" "2021" "21_QM_C_234CL" "CL"
"57" "C" "358CL" "33.563" "5.721" "2" "0.039" "0.249" "0.065" "16.768" "2.751" 30.509 "0.83" "1.874" "0.079" "0.192" "0.008" "16.294" "0.446" "2021" "21_QM_C_358CL" "CL"
"58" "C" "269CL" "39.573" "2.368" "1.936" "0.081" "0.171" "0.017" "20.445" "0.888" 30.854 "1.723" "1.822" "0.056" "0.182" "0.007" "16.94" "0.895" "2021" "21_QM_C_269CL" "CL"
"59" "C" "270CL" "31.621" "2.846" "2.068" "0.086" "0.215" "0.07" "15.34" "1.835" 32.621 "4.614" "1.804" "0.046" "0.198" "0.038" "18.08" "2.41" "2021" "21_QM_C_270CL" "CL"
"60" "C" "422QI" "16.938" "1.671" "1.856" "0.089" "0.495" "0.071" "9.124" "0.791" 28.314 "3.552" "1.887" "0.068" "0.213" "0.023" "15.067" "2.341" "2021" "21_QM_C_422QI" "QI"
"61" "C" "423QI" "22.365" "3.789" "1.863" "0.091" "0.411" "0.054" "12.084" "2.503" 39.921 "3.075" "1.953" "0.03" "0.155" "0.009" "20.449" "1.689" "2021" "21_QM_C_423QI" "QI"
"62" "C" "431QI" "30.053" "8.229" "2.068" "0.137" "0.36" "0.102" "14.399" "3.35" 39.548 "2.35" "1.925" "0.078" "0.172" "0.025" "20.584" "1.702" "2021" "21_QM_C_431QI" "QI"
"63" "C" "425QI" "41.694" "1.947" "2.024" "0.086" "0.161" "0.009" "20.608" "0.761" 41.606 "2.073" "1.958" "0.059" "0.125" "0.013" "21.246" "0.789" "2021" "21_QM_C_425QI" "QI"
"64" "C" "424QI" "38.033" "4.151" "2.046" "0.092" "0.195" "0.028" "18.684" "2.777" 32.363 "3.225" "1.915" "0.042" "0.189" "0.018" "16.902" "1.628" "2021" "21_QM_C_424QI" "QI"
"65" "C" "419QI" "24.854" "4.468" "1.992" "0.034" "0.418" "0.034" "12.479" "2.251" 36.131 "4.403" "1.94" "0.042" "0.195" "0.024" "18.667" "2.62" "2021" "21_QM_C_419QI" "QI"
"66" "C" "426QI" "40.069" "2.369" "1.96" "0.043" "0.187" "0.03" "20.449" "1.183" 40.533 "3.308" "1.967" "0.023" "0.185" "0.015" "20.603" "1.6" "2021" "21_QM_C_426QI" "QI"
"67" "C" "342QI" "47.061" "5.026" "2.036" "0.133" "0.171" "0.026" "23.199" "2.997" 40.506 "13.163" "1.878" "0.055" "0.155" "0.042" "21.49" "6.72" "2021" "21_QM_C_342QI" "QI"
"68" "C" "341QI" "40.824" "3.479" "1.935" "0.053" "0.172" "0.024" "21.106" "1.765" 27.368 "3.638" "1.924" "0.059" "0.237" "0.024" "14.229" "1.927" "2021" "21_QM_C_341QI" "QI"
"69" "C" "240QI" "28.428" "8.527" "1.993" "0.038" "0.326" "0.093" "14.274" "4.303" 48.998 "2.031" "1.861" "0.046" "0.141" "0.015" "26.344" "1.408" "2021" "21_QM_C_240QI" "QI"
"70" "C" "429QI" "47.544" "2.054" "1.973" "0.014" "0.143" "0.03" "24.101" "1.08" 45.493 "3.452" "1.951" "0.022" "0.141" "0.016" "23.334" "1.95" "2021" "21_QM_C_429QI" "QI"
"71" "C" "267QI" "38.104" "2.429" "1.977" "0.054" "0.19" "0.037" "19.298" "1.476" 34.577 "3.492" "1.85" "0.023" "0.176" "0.032" "18.684" "1.836" "2021" "21_QM_C_267QI" "QI"
"72" "C" "360QI" "31.432" "1.251" "1.996" "0.027" "0.2" "0.024" "15.749" "0.737" 32.076 "2.893" "1.955" "0.022" "0.188" "0.021" "16.399" "1.385" "2021" "21_QM_C_360QI" "QI"
"73" "C" "427QI" "25.653" "3.53" "1.947" "0.083" "0.337" "0.081" "13.184" "1.829" 28.856 "3.175" "1.937" "0.012" "0.181" "0.016" "14.901" "1.677" "2021" "21_QM_C_427QI" "QI"
"74" "C" "417QI" "45.933" "3.061" "1.913" "0.042" "0.164" "0.021" "24.036" "1.866" 39.6 "13.213" "1.882" "0.049" "0.181" "0.027" "21.087" "7.193" "2021" "21_QM_C_417QI" "QI"
"75" "C" "428QI" "29.179" "5.163" "1.932" "0.007" "0.233" "0.035" "15.106" "2.689" 29.644 "3.071" "1.984" "0.027" "0.244" "0.021" "14.959" "1.71" "2021" "21_QM_C_428QI" "QI"
"76" "C" "430QI" "36.864" "2.913" "1.936" "0.033" "0.306" "0.027" "19.059" "1.78" 30.775 "4.827" "1.889" "0.016" "0.223" "0.038" "16.28" "2.499" "2021" "21_QM_C_430QI" "QI"
"77" "C" "500QI" "46.196" "3.775" "1.953" "0.033" "0.153" "0.019" "23.677" "2.248" 39.477 "2.183" "1.83" "0.183" "0.151" "0.02" "21.772" "2.795" "2021" "21_QM_C_500QI" "QI"
"78" "C" "501QI" "25.458" "6.727" "1.988" "0.015" "0.348" "0.117" "12.791" "3.309" 35.51 "3.83" "1.951" "0.018" "0.204" "0.02" "18.201" "1.949" "2021" "21_QM_C_501QI" "QI"
"79" "A" "153QI" "41.651" "5.637" "1.958" "0.042" "0.2" "0.036" "21.323" "3.289" 21.293 "1.784" "1.972" "0.084" "0.275" "0.025" "10.802" "0.801" "2021" "21_QM_A_153QI" "QI"
"80" "A" "159QI" "45.818" "9.589" "1.895" "0.119" "0.261" "0.068" "24.094" "4.209" 35.853 "7.021" "1.976" "0.037" "0.236" "0.031" "18.188" "3.794" "2021" "21_QM_A_159QI" "QI"
"81" "A" "156QI" "47.781" "7.42" "1.953" "0.022" "0.182" "0.031" "24.488" "3.944" 24.595 "2.148" "1.989" "0.032" "0.235" "0.023" "12.366" "1.05" "2021" "21_QM_A_156QI" "QI"
"82" "A" "129QI" "55.204" "6.35" "1.949" "0.057" "0.156" "0.027" "28.392" "3.97" 41.965 "5.457" "1.947" "0.022" "0.21" "0.04" "21.558" "2.781" "2021" "21_QM_A_129QI" "QI"
"83" "A" "97QI" "31.304" "2.916" "1.991" "0.061" "0.293" "0.06" "15.744" "1.718" 27.909 "4.354" "1.895" "0.067" "0.233" "0.034" "14.754" "2.502" "2021" "21_QM_A_97QI" "QI"
"84" "A" "103QI" "34.257" "8.715" "1.944" "0.05" "0.298" "0.146" "17.694" "4.769" 26.372 "6.141" "1.993" "0.072" "0.271" "0.062" "13.283" "3.344" "2021" "21_QM_A_103QI" "QI"
"85" "A" "114QI" "45.276" "6.577" "1.967" "0.034" "0.222" "0.051" "23.036" "3.438" 36.348 "12.161" "1.873" "0.151" "0.252" "0.123" "19.249" "5.887" "2021" "21_QM_A_114QI" "QI"
"86" "C" "418QI" "41.906" "2.373" "2.035" "0.029" "0.181" "0.016" "20.595" "1.29" 38.755 "4.785" "1.912" "0.04" "0.194" "0.02" "20.287" "2.722" "2021" "21_QM_C_418QI" "QI"
"87" "A" "115QI" "27.476" "7.819" "1.938" "0.052" "0.344" "0.073" "14.129" "3.69" 42.965 "2.382" "1.91" "0.032" "0.178" "0.011" "22.484" "0.944" "2021" "21_QM_A_115QI" "QI"
"88" "A" "39QI" "32.176" "4.037" "1.893" "0.068" "0.237" "0.039" "16.965" "1.724" 23.028 "7.89" "1.906" "0.133" "0.394" "0.079" "11.976" "3.74" "2021" "21_QM_A_39QI" "QI"
"89" "A" "37QI" "43.755" "2.833" "1.986" "0.047" "0.191" "0.033" "22.055" "1.775" 26.607 "5.575" "2.095" "0.058" "0.279" "0.032" "12.755" "2.986" "2021" "21_QM_A_37QI" "QI"
"90" "A" "65QI" "40.564" "6.548" "1.969" "0.023" "0.204" "0.052" "20.583" "3.231" 41.679 "4.374" "1.952" "0.038" "0.18" "0.015" "21.351" "2.146" "2021" "21_QM_A_65QI" "QI"
"91" "A" "67QI" "40.953" "3.795" "1.92" "0.166" "0.233" "0.043" "21.513" "3.492" 33.211 "5.175" "1.957" "0.064" "0.208" "0.028" "17.033" "3.088" "2021" "21_QM_A_67QI" "QI"
"92" "A" "76QI" "22.846" "0.688" "1.819" "0.036" "0.575" "0.024" "12.562" "0.201" 30.327 "9.203" "1.969" "0.101" "0.234" "0.064" "15.453" "4.732" "2021" "21_QM_A_76QI" "QI"
"93" "A" "82QI" "37.14" "1.772" "1.92" "0.021" "0.179" "0.017" "19.337" "0.72" 19.764 "3.784" "1.492" "0.12" "0.246" "0.036" "13.346" "3.008" "2021" "21_QM_A_82QI" "QI"
"94" "A" "142QI" "44.148" "6.112" "1.948" "0.012" "0.201" "0.02" "22.674" "3.216" 35.282 "4.108" "1.958" "0.042" "0.213" "0.023" "18.023" "2.102" "2021" "21_QM_A_142QI" "QI"
"95" "A" "148QI" "32.894" "7.035" "1.935" "0.015" "0.266" "0.106" "17.004" "3.651" 20.698 "2.019" "1.96" "0.02" "0.333" "0.022" "10.56" "1.01" "2021" "21_QM_A_148QI" "QI"
"96" "A" "155QI" "36.908" "3.314" "1.976" "0.047" "0.272" "0.021" "18.712" "2.077" 41.648 "6.775" "1.945" "0.021" "0.186" "0.011" "21.392" "3.288" "2021" "21_QM_A_155QI" "QI"
"97" "C" "421QI" "32.425" "3.041" "1.954" "0.13" "0.433" "0.104" "16.685" "2.251" 45.2 "3.637" "1.907" "0.052" "0.173" "0.029" "23.737" "2.357" "2021" "21_QM_C_421QI" "QI"
"98" "A" "154QI" "46.425" "6.199" "1.943" "0.044" "0.207" "0.052" "23.946" "3.637" 42.65 "0.394" "1.81" "0.224" "0.157" "0.006" "23.879" "3.42" "2021" "21_QM_A_154QI" "QI"
"99" "A" "160QI" "52.941" "6.622" "1.912" "0.041" "0.181" "0.017" "27.708" "3.689" 38.558 "6.667" "1.962" "0.062" "0.272" "0.07" "19.662" "3.418" "2021" "21_QM_A_160QI" "QI"
"100" "A" "161QI" "38.879" "0" "1.907" "0" "0.21" "0" "20.388" "0" 41.553 "6.007" "1.81" "0.021" "0.167" "0.024" "22.929" "3.103" "2021" "21_QM_A_161QI" "QI"
"101" "A" "157QI" NA NA NA NA NA NA NA NA 33.996 "10.6" "1.991" "0.109" "0.238" "0.03" "17.293" "6.108" "2021" "21_QM_A_157QI" "QI"
