"site","habitat","treatment","year","sampling_unit","author_code","Riqueza","Shannon","Simpson","Abundancia"
"toledo","scrub","hyper",2022,"pf2_Q-dA pf2 22-27/06/2022","Q-dA pf2 22-27/06/2022",7,3.96158369329073,2.75598086124402,48
"toledo","scrub","hyper",2022,"pf3_Q-dA T16 pf3 22-27/06/2022","Q-dA T16 pf3 22-27/06/2022",5,3.51216778472947,3.05083260297984,59
"toledo","scrub","hyper",2022,"pf3_Q-dA T66 pf3 22-27/06/2022","Q-dA T66 pf3 22-27/06/2022",10,5.45182749158811,3.36363636363636,37
"toledo","scrub","hyper",2022,"pf3_Q-dA pf3 22-27/06/2022","Q-dA pf3 22-27/06/2022",10,6.89147823535009,5.66480446927374,78
"toledo","scrub","hyper",2022,"pf4_Q-dA pf4 22-27/06/2022","Q-dA pf4 22-27/06/2022",6,4.7369259854677,4.00367647058824,66
"toledo","scrub","hyper",2022,"pf5_Q-dA pf5 22-27/06/2022","Q-dA pf5 22-27/06/2022",8,3.90898744579639,2.90542244640605,96
"toledo","scrub","hyper",2022,"pf6_Q-dA pf6 22-27/06/2022","Q-dA pf6 22-27/06/2022",8,5.58078993032819,4.79207920792079,88
"toledo","scrub","hyper",2022,"pf7_Q-dA pf7 22-27/06/2022","Q-dA pf7 22-27/06/2022",8,5.58352359190983,4.46581875993641,53
"toledo","scrub","hyper",2022,"pf8_Q-dA pf8 22-27/06/2022","Q-dA pf8 22-27/06/2022",7,4.17617021645056,3.47402924861321,83
"toledo","scrub","hyper",2022,"pf9_Q-dA pf9 22-27/06/2022","Q-dA pf9 22-27/06/2022",6,4.12663924448202,3.63573883161512,46
"valencia","scrub","control_high",2021,"pf1_M-dB-C T1 pf1 23-28.vi.21","M-dB-C T1 pf1 23-28.vi.21",8,7.10000249264919,6.4,16
"valencia","scrub","control_high",2021,"pf1_M-dB-C T2 pf1 23-28.vi.21","M-dB-C T2 pf1 23-28.vi.21",5,3.34155563207792,2.63636363636364,29
"valencia","scrub","control_high",2021,"pf1_M-dB-C T3 pf1 23-28.vi.21","M-dB-C T3 pf1 23-28.vi.21",7,5.47148551329825,4.73684210526316,30
"valencia","scrub","control_high",2021,"pf1_M-dB-C T4 pf1 23-28.vi.21","M-dB-C T4 pf1 23-28.vi.21",7,6.23561675873278,5.76470588235294,28
"valencia","scrub","control_high",2021,"pf2_M-dB-C T1 pf2 23-28.vi.21","M-dB-C T1 pf2 23-28.vi.21",4,3.58598882705695,3.26666666666667,7
"valencia","scrub","control_high",2021,"pf2_M-dB-C T2 pf2 23-28.vi.21","M-dB-C T2 pf2 23-28.vi.21",6,4.38144760850383,3.80575539568345,23
"valencia","scrub","control_high",2021,"pf2_M-dB-C T3 pf2 23-28.vi.21","M-dB-C T3 pf2 23-28.vi.21",5,4.34115281760506,3.90322580645161,11
"valencia","scrub","control_high",2021,"pf2_M-dB-C T4 pf2 23-28.vi.21","M-dB-C T4 pf2 23-28.vi.21",8,3.76127214071691,2.96486090775988,90
"valencia","scrub","control_high",2021,"pf3_M-dB-C T1 pf3 23-28.vi.21","M-dB-C T1 pf3 23-28.vi.21",3,2.36517352331106,1.99115044247788,15
"valencia","scrub","control_high",2021,"pf3_M-dB-C T2 pf3 23-28.vi.21","M-dB-C T2 pf3 23-28.vi.21",6,3.85108418861019,2.90909090909091,32
