"site","treatment","sampling_unit","year","observation","level","sampling_unit_new"
"toledo","high","trap_24",2021,66.6666666666667,"raton","toledo/high/trap_24/2021"
"valencia","high","trap_24",2021,0,"raton","valencia/high/trap_24/2021"
"toledo","hyper","trap_24",2021,33.3333333333333,"raton","toledo/hyper/trap_24/2021"
"valencia","hyper","trap_24",2021,66.6666666666667,"raton","valencia/hyper/trap_24/2021"
"valencia","control_high","trap_25",2021,0,"raton","valencia/control_high/trap_25/2021"
"toledo","high","trap_25",2021,100,"raton","toledo/high/trap_25/2021"
"valencia","high","trap_25",2021,0,"raton","valencia/high/trap_25/2021"
"toledo","hyper","trap_25",2021,0,"raton","toledo/hyper/trap_25/2021"
"valencia","hyper","trap_25",2021,0,"raton","valencia/hyper/trap_25/2021"
"valencia","control_high","trap_26",2021,0,"raton","valencia/control_high/trap_26/2021"
"toledo","high","trap_26",2021,66.6666666666667,"raton","toledo/high/trap_26/2021"
"valencia","high","trap_26",2021,0,"raton","valencia/high/trap_26/2021"
"toledo","hyper","trap_26",2021,33.3333333333333,"raton","toledo/hyper/trap_26/2021"
"valencia","hyper","trap_26",2021,0,"raton","valencia/hyper/trap_26/2021"
"valencia","control_high","trap_27",2021,0,"raton","valencia/control_high/trap_27/2021"
"toledo","high","trap_27",2021,0,"raton","toledo/high/trap_27/2021"
"valencia","high","trap_27",2021,33.3333333333333,"raton","valencia/high/trap_27/2021"
"toledo","hyper","trap_27",2021,0,"raton","toledo/hyper/trap_27/2021"
"valencia","hyper","trap_27",2021,0,"raton","valencia/hyper/trap_27/2021"
"valencia","control_high","trap_28",2021,0,"raton","valencia/control_high/trap_28/2021"
"toledo","high","trap_28",2021,0,"raton","toledo/high/trap_28/2021"
"valencia","high","trap_28",2021,0,"raton","valencia/high/trap_28/2021"
"toledo","hyper","trap_28",2021,33.3333333333333,"raton","toledo/hyper/trap_28/2021"
"valencia","hyper","trap_28",2021,0,"raton","valencia/hyper/trap_28/2021"
"valencia","control_high","trap_29",2021,0,"raton","valencia/control_high/trap_29/2021"
"toledo","high","trap_29",2021,66.6666666666667,"raton","toledo/high/trap_29/2021"
"valencia","high","trap_29",2021,0,"raton","valencia/high/trap_29/2021"
"toledo","hyper","trap_29",2021,0,"raton","toledo/hyper/trap_29/2021"
"valencia","hyper","trap_29",2021,0,"raton","valencia/hyper/trap_29/2021"
"toledo","control","trap_3",2021,33.3333333333333,"raton","toledo/control/trap_3/2021"
"valencia","control_high","trap_3",2021,0,"raton","valencia/control_high/trap_3/2021"
"valencia","control_hyper","trap_3",2021,33.3333333333333,"raton","valencia/control_hyper/trap_3/2021"
"toledo","high","trap_3",2021,0,"raton","toledo/high/trap_3/2021"
"valencia","high","trap_3",2021,33.3333333333333,"raton","valencia/high/trap_3/2021"
"toledo","hyper","trap_3",2021,33.3333333333333,"raton","toledo/hyper/trap_3/2021"
"valencia","hyper","trap_3",2021,33.3333333333333,"raton","valencia/hyper/trap_3/2021"
"valencia","control_high","trap_30",2021,0,"raton","valencia/control_high/trap_30/2021"
"toledo","high","trap_30",2021,0,"raton","toledo/high/trap_30/2021"
"valencia","high","trap_30",2021,0,"raton","valencia/high/trap_30/2021"
"toledo","hyper","trap_30",2021,66.6666666666667,"raton","toledo/hyper/trap_30/2021"
"valencia","hyper","trap_30",2021,33.3333333333333,"raton","valencia/hyper/trap_30/2021"
"valencia","control_high","trap_31",2021,0,"raton","valencia/control_high/trap_31/2021"
"toledo","high","trap_31",2021,66.6666666666667,"raton","toledo/high/trap_31/2021"
"valencia","high","trap_31",2021,0,"raton","valencia/high/trap_31/2021"
"toledo","hyper","trap_31",2021,0,"raton","toledo/hyper/trap_31/2021"
"valencia","hyper","trap_31",2021,33.3333333333333,"raton","valencia/hyper/trap_31/2021"
"valencia","control_high","trap_32",2021,0,"raton","valencia/control_high/trap_32/2021"
"toledo","high","trap_32",2021,66.6666666666667,"raton","toledo/high/trap_32/2021"
"valencia","high","trap_32",2021,0,"raton","valencia/high/trap_32/2021"
"toledo","hyper","trap_32",2021,0,"raton","toledo/hyper/trap_32/2021"
"valencia","hyper","trap_32",2021,33.3333333333333,"raton","valencia/hyper/trap_32/2021"
"valencia","control_high","trap_33",2021,33.3333333333333,"raton","valencia/control_high/trap_33/2021"
"toledo","high","trap_33",2021,66.6666666666667,"raton","toledo/high/trap_33/2021"
"valencia","high","trap_33",2021,0,"raton","valencia/high/trap_33/2021"
"toledo","hyper","trap_33",2021,66.6666666666667,"raton","toledo/hyper/trap_33/2021"
"valencia","hyper","trap_33",2021,0,"raton","valencia/hyper/trap_33/2021"
"valencia","control_high","trap_34",2021,33.3333333333333,"raton","valencia/control_high/trap_34/2021"
"toledo","high","trap_34",2021,33.3333333333333,"raton","toledo/high/trap_34/2021"
"valencia","high","trap_34",2021,0,"raton","valencia/high/trap_34/2021"
"toledo","hyper","trap_34",2021,0,"raton","toledo/hyper/trap_34/2021"
"valencia","hyper","trap_34",2021,0,"raton","valencia/hyper/trap_34/2021"
"toledo","high","trap_35",2021,100,"raton","toledo/high/trap_35/2021"
"valencia","high","trap_35",2021,0,"raton","valencia/high/trap_35/2021"
"toledo","hyper","trap_35",2021,33.3333333333333,"raton","toledo/hyper/trap_35/2021"
"valencia","hyper","trap_35",2021,0,"raton","valencia/hyper/trap_35/2021"
"toledo","high","trap_36",2021,33.3333333333333,"raton","toledo/high/trap_36/2021"
"valencia","high","trap_36",2021,0,"raton","valencia/high/trap_36/2021"
"toledo","hyper","trap_36",2021,33.3333333333333,"raton","toledo/hyper/trap_36/2021"
"valencia","hyper","trap_36",2021,33.3333333333333,"raton","valencia/hyper/trap_36/2021"
"toledo","high","trap_37",2021,33.3333333333333,"raton","toledo/high/trap_37/2021"
"valencia","high","trap_37",2021,0,"raton","valencia/high/trap_37/2021"
"toledo","hyper","trap_37",2021,100,"raton","toledo/hyper/trap_37/2021"
"valencia","hyper","trap_37",2021,0,"raton","valencia/hyper/trap_37/2021"
"toledo","high","trap_38",2021,66.6666666666667,"raton","toledo/high/trap_38/2021"
"valencia","high","trap_38",2021,0,"raton","valencia/high/trap_38/2021"
"toledo","hyper","trap_38",2021,0,"raton","toledo/hyper/trap_38/2021"
"valencia","hyper","trap_38",2021,0,"raton","valencia/hyper/trap_38/2021"
"toledo","high","trap_39",2021,33.3333333333333,"raton","toledo/high/trap_39/2021"
"valencia","high","trap_39",2021,0,"raton","valencia/high/trap_39/2021"
"toledo","hyper","trap_39",2021,33.3333333333333,"raton","toledo/hyper/trap_39/2021"
"valencia","hyper","trap_39",2021,0,"raton","valencia/hyper/trap_39/2021"
"toledo","control","trap_4",2021,66.6666666666667,"raton","toledo/control/trap_4/2021"
"valencia","control_high","trap_4",2021,66.6666666666667,"raton","valencia/control_high/trap_4/2021"
"valencia","control_hyper","trap_4",2021,0,"raton","valencia/control_hyper/trap_4/2021"
"toledo","high","trap_4",2021,33.3333333333333,"raton","toledo/high/trap_4/2021"
"valencia","high","trap_4",2021,33.3333333333333,"raton","valencia/high/trap_4/2021"
"toledo","hyper","trap_4",2021,33.3333333333333,"raton","toledo/hyper/trap_4/2021"
"valencia","hyper","trap_4",2021,66.6666666666667,"raton","valencia/hyper/trap_4/2021"
"toledo","high","trap_40",2021,0,"raton","toledo/high/trap_40/2021"
"valencia","high","trap_40",2021,66.6666666666667,"raton","valencia/high/trap_40/2021"
"toledo","hyper","trap_40",2021,33.3333333333333,"raton","toledo/hyper/trap_40/2021"
"valencia","hyper","trap_40",2021,33.3333333333333,"raton","valencia/hyper/trap_40/2021"
"toledo","high","trap_41",2021,33.3333333333333,"raton","toledo/high/trap_41/2021"
"valencia","high","trap_41",2021,33.3333333333333,"raton","valencia/high/trap_41/2021"
"toledo","hyper","trap_41",2021,0,"raton","toledo/hyper/trap_41/2021"
"valencia","hyper","trap_41",2021,0,"raton","valencia/hyper/trap_41/2021"
"toledo","high","trap_42",2021,0,"raton","toledo/high/trap_42/2021"
"valencia","high","trap_42",2021,66.6666666666667,"raton","valencia/high/trap_42/2021"
"toledo","hyper","trap_42",2021,33.3333333333333,"raton","toledo/hyper/trap_42/2021"
"valencia","hyper","trap_42",2021,0,"raton","valencia/hyper/trap_42/2021"
"toledo","high","trap_43",2021,33.3333333333333,"raton","toledo/high/trap_43/2021"
"valencia","high","trap_43",2021,0,"raton","valencia/high/trap_43/2021"
"toledo","hyper","trap_43",2021,66.6666666666667,"raton","toledo/hyper/trap_43/2021"
"valencia","hyper","trap_43",2021,33.3333333333333,"raton","valencia/hyper/trap_43/2021"
"toledo","high","trap_44",2021,0,"raton","toledo/high/trap_44/2021"
"toledo","hyper","trap_44",2021,0,"raton","toledo/hyper/trap_44/2021"
"toledo","high","trap_45",2021,33.3333333333333,"raton","toledo/high/trap_45/2021"
"toledo","hyper","trap_45",2021,0,"raton","toledo/hyper/trap_45/2021"
"toledo","high","trap_46",2021,33.3333333333333,"raton","toledo/high/trap_46/2021"
"toledo","hyper","trap_46",2021,0,"raton","toledo/hyper/trap_46/2021"
"toledo","high","trap_47",2021,0,"raton","toledo/high/trap_47/2021"
"toledo","hyper","trap_47",2021,0,"raton","toledo/hyper/trap_47/2021"
"toledo","high","trap_48",2021,33.3333333333333,"raton","toledo/high/trap_48/2021"
"toledo","hyper","trap_48",2021,33.3333333333333,"raton","toledo/hyper/trap_48/2021"
"toledo","high","trap_49",2021,66.6666666666667,"raton","toledo/high/trap_49/2021"
"toledo","hyper","trap_49",2021,33.3333333333333,"raton","toledo/hyper/trap_49/2021"
"toledo","control","trap_5",2021,33.3333333333333,"raton","toledo/control/trap_5/2021"
"valencia","control_high","trap_5",2021,33.3333333333333,"raton","valencia/control_high/trap_5/2021"
