"site","habitat","treatment","sampling_unit","indice","valor"
"toledo",NA,"hyper","T16_P1","delta_abundancia",-39
"toledo",NA,"hyper","T16_P1","delta_riqueza",-1
"toledo",NA,"hyper","T16_P1","delta_shannon",-0.404707086576179
"toledo",NA,"hyper","T16_P1","delta_simpson",-0.926131610855712
"toledo",NA,"hyper","T16_P2","delta_abundancia",-3
"toledo",NA,"hyper","T16_P2","delta_riqueza",1
"toledo",NA,"hyper","T16_P2","delta_shannon",-0.0313794057228689
"toledo",NA,"hyper","T16_P2","delta_simpson",-0.548062132408386
"toledo",NA,"hyper","T16_P3","delta_abundancia",0
"toledo",NA,"hyper","T16_P3","delta_riqueza",1
"toledo",NA,"hyper","T16_P3","delta_shannon",-0.118933015999749
"toledo",NA,"hyper","T16_P3","delta_simpson",-0.467310500709027
"toledo",NA,"hyper","T66_P1","delta_abundancia",-67
"toledo",NA,"hyper","T66_P1","delta_riqueza",0
"toledo",NA,"hyper","T66_P1","delta_shannon",-0.552808774457533
"toledo",NA,"hyper","T66_P1","delta_simpson",-0.309525499141111
"toledo",NA,"hyper","T66_P2","delta_abundancia",-72
"toledo",NA,"hyper","T66_P2","delta_riqueza",2
"toledo",NA,"hyper","T66_P2","delta_shannon",0.272286382210128
"toledo",NA,"hyper","T66_P2","delta_simpson",-0.802478289573917
"toledo",NA,"hyper","T66_P3","delta_abundancia",-6
"toledo",NA,"hyper","T66_P3","delta_riqueza",2
"toledo",NA,"hyper","T66_P3","delta_shannon",-0.4861724510344
"toledo",NA,"hyper","T66_P3","delta_simpson",-1.38282784101909
"toledo",NA,"hyper","T99_P1","delta_abundancia",-35
"toledo",NA,"hyper","T99_P1","delta_riqueza",2
"toledo",NA,"hyper","T99_P1","delta_shannon",0.688724202936792
"toledo",NA,"hyper","T99_P1","delta_simpson",-0.0684424196688709
"toledo",NA,"hyper","T99_P10","delta_abundancia",-18
"toledo",NA,"hyper","T99_P10","delta_riqueza",-3
"toledo",NA,"hyper","T99_P10","delta_shannon",-0.508236577476205
"toledo",NA,"hyper","T99_P10","delta_simpson",-0.323429620267496
"toledo",NA,"hyper","T99_P11","delta_abundancia",262
"toledo",NA,"hyper","T99_P11","delta_riqueza",2
"toledo",NA,"hyper","T99_P11","delta_shannon",-0.204446732329086
"toledo",NA,"hyper","T99_P11","delta_simpson",-0.539059608290439
"toledo",NA,"hyper","T99_P12","delta_abundancia",-75
