"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","Q-dA pf4 22-27/06/2022","hyper","pf4_Q-dA pf4 22-27/06/2022","delta_braycurtis",1
"toledo","Q-dA pf5 22-27/06/2022","hyper","pf5_Q-dA pf5 22-27/06/2022","delta_braycurtis",1
"toledo","Q-dA pf6 22-27/06/2022","hyper","pf6_Q-dA pf6 22-27/06/2022","delta_braycurtis",1
"toledo","Q-dA pf7 22-27/06/2022","hyper","pf7_Q-dA pf7 22-27/06/2022","delta_braycurtis",1
"toledo","Q-dA pf8 22-27/06/2022","hyper","pf8_Q-dA pf8 22-27/06/2022","delta_braycurtis",1
"toledo","Q-dA pf9 22-27/06/2022","hyper","pf9_Q-dA pf9 22-27/06/2022","delta_braycurtis",1
"valencia","M-dB-C T1 pf1 23-28.vi.21","control_high","pf1_M-dB-C T1 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T2 pf1 23-28.vi.21","control_high","pf1_M-dB-C T2 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T3 pf1 23-28.vi.21","control_high","pf1_M-dB-C T3 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T4 pf1 23-28.vi.21","control_high","pf1_M-dB-C T4 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T1 pf2 23-28.vi.21","control_high","pf2_M-dB-C T1 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T2 pf2 23-28.vi.21","control_high","pf2_M-dB-C T2 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T3 pf2 23-28.vi.21","control_high","pf2_M-dB-C T3 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T4 pf2 23-28.vi.21","control_high","pf2_M-dB-C T4 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T1 pf3 23-28.vi.21","control_high","pf3_M-dB-C T1 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T2 pf3 23-28.vi.21","control_high","pf3_M-dB-C T2 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T3 pf3 23-28.vi.21","control_high","pf3_M-dB-C T3 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-C T4 pf3 23-28.vi.21","control_high","pf3_M-dB-C T4 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M dB-C T1 pf1 23-28/6/2022","control_high","pf1_M dB-C T1 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T2 pf1 23-28/6/2022","control_high","pf1_M dB-C T2 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T3 pf1 23-28/6/2022","control_high","pf1_M dB-C T3 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T4 pf1 23-28/6/2022","control_high","pf1_M dB-C T4 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T1 pf2 23-28/6/2022","control_high","pf2_M dB-C T1 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T2 pf2 23-28/6/2022","control_high","pf2_M dB-C T2 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T3 pf2 23-28/6/2022","control_high","pf2_M dB-C T3 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T4 pf2 23-28/6/2022","control_high","pf2_M dB-C T4 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T1 pf3 23-28/6/2022","control_high","pf3_M dB-C T1 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T3 pf3 23-28/6/2022","control_high","pf3_M dB-C T3 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dB-C T4 pf3 23-28/6/2022","control_high","pf3_M dB-C T4 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M22 dB-C T2 pf3 23-28/6/2022","control_high","pf3_M22 dB-C T2 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M-dA-C T1 pf1 23-28.vi.21","control_hyper","pf1_M-dA-C T1 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T2 pf1 23-28.vi.21","control_hyper","pf1_M-dA-C T2 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T3 pf1 23-28.vi.21","control_hyper","pf1_M-dA-C T3 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T4 pf1 23-28.vi.21","control_hyper","pf1_M-dA-C T4 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T1 pf2 23-28.vi.21","control_hyper","pf2_M-dA-C T1 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T2 pf2 23-28.vi.21","control_hyper","pf2_M-dA-C T2 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T3 pf2 23-28.vi.21","control_hyper","pf2_M-dA-C T3 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T4 pf2 23-28.vi.21","control_hyper","pf2_M-dA-C T4 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T1 pf3 23-28.vi.21","control_hyper","pf3_M-dA-C T1 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T2 pf3 23-28.vi.21","control_hyper","pf3_M-dA-C T2 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T3 pf3 23-28.vi.21","control_hyper","pf3_M-dA-C T3 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-C T4 pf3 23-28.vi.21","control_hyper","pf3_M-dA-C T4 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M dA C T1 pf1 23-28/6/2022","control_hyper","pf1_M dA C T1 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T2 pf1 23-28/6/2022","control_hyper","pf1_M dA C T2 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T3 pf1 23-28/6/2022","control_hyper","pf1_M dA C T3 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T4 pf1 23-28/6/2022","control_hyper","pf1_M dA C T4 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T1 pf2 23-28/6/2022","control_hyper","pf2_M dA C T1 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T2 pf2 23-28/6/2022","control_hyper","pf2_M dA C T2 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T3 pf2 23-28/6/2022","control_hyper","pf2_M dA C T3 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T4 pf2 23-28/6/2022","control_hyper","pf2_M dA C T4 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T1 pf3 23-28/6/2022","control_hyper","pf3_M dA C T1 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T2 pf3 23-28/6/2022","control_hyper","pf3_M dA C T2 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T3 pf3 23-28/6/2022","control_hyper","pf3_M dA C T3 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dA C T4 pf3 23-28/6/2022","control_hyper","pf3_M dA C T4 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M-dB-T T1 pf1 23-28.vi.21","high","pf1_M-dB-T T1 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T2 pf1 23-28.vi.21","high","pf1_M-dB-T T2 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T3 pf1 23-28.vi.21","high","pf1_M-dB-T T3 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T4 pf1 23-28.vi.21","high","pf1_M-dB-T T4 pf1 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T1 pf2 23-28.vi.21","high","pf2_M-dB-T T1 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T2 pf2 23-28.vi.21","high","pf2_M-dB-T T2 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T3 pf2 23-28.vi.21","high","pf2_M-dB-T T3 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T4 pf2 23-28.vi.21","high","pf2_M-dB-T T4 pf2 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T1 pf3 23-28.vi.21","high","pf3_M-dB-T T1 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T2 pf3 23-28.vi.21","high","pf3_M-dB-T T2 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T3 pf3 23-28.vi.21","high","pf3_M-dB-T T3 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dB-T T4 pf3 23-28.vi.21","high","pf3_M-dB-T T4 pf3 23-28.vi.21","delta_braycurtis",1
